n_jobs, Sync, Thread, Process
1, 0.025399683996511158, 0.0772537770026247, 0.20616816199981258
2, 0.025399683996511158, 0.11051465700074914, 0.23441862600157037
3, 0.025399683996511158, 0.17586667599971406, 0.2251986039991607
4, 0.025399683996511158, 0.14457604899871512, 0.23851198000193108
5, 0.025399683996511158, 0.13232714900004794, 0.23203189600098995
6, 0.025399683996511158, 0.14254398299817694, 0.23799743199924706
7, 0.025399683996511158, 0.155233194000175, 0.24581080699863378
8, 0.025399683996511158, 0.13928167600170127, 0.23712357499971404
